iter	Logloss
0	0.6857730674
1	0.6791442111
2	0.6732497711
3	0.6676779977
4	0.6613921277
5	0.6550289396
6	0.6497718011
7	0.6433693222
8	0.6370628915
9	0.6297552332
10	0.6240257496
11	0.6177908794
12	0.6123628291
13	0.6060531038
14	0.6003185119
15	0.593795596
16	0.588190894
17	0.5824319566
18	0.5770778041
19	0.5717775132
20	0.5664149128
21	0.5608067486
22	0.5562886015
23	0.5518145257
24	0.5467326338
25	0.5409438286
26	0.5356750412
27	0.5302690564
28	0.5254962006
29	0.5216063408
30	0.5162151762
31	0.5103582952
32	0.5060721271
33	0.5023514912
34	0.4981388028
35	0.4931560421
36	0.4894681926
37	0.4855377465
38	0.4818229332
39	0.4778149802
40	0.4737386476
41	0.4705171445
42	0.4664289823
43	0.4619944514
44	0.4582333877
45	0.4539757964
46	0.4497362191
47	0.4462736555
48	0.4429668222
49	0.4391524392
50	0.4352170619
51	0.4316123169
52	0.4278631198
53	0.4245977289
54	0.421276408
55	0.4178606103
56	0.41479872
57	0.4117830861
58	0.4088223502
59	0.4053603442
60	0.402297562
61	0.3992492372
62	0.3961518504
63	0.3927863814
64	0.3893423302
65	0.3869397909
66	0.3839517607
67	0.3814371453
68	0.3786964348
69	0.3757341033
70	0.3727323884
71	0.3697939259
72	0.3667216317
73	0.3639527047
74	0.3609773645
75	0.3583618902
76	0.3555354304
77	0.3530562573
78	0.3503806326
79	0.3477648515
80	0.3456543718
81	0.343146351
82	0.3404179877
83	0.3375617169
84	0.3350073648
85	0.3331884436
86	0.3307250894
87	0.3285038487
88	0.3262915181
89	0.3241736156
90	0.3221001762
91	0.3202699429
92	0.3187370204
93	0.3170864557
94	0.3151002567
95	0.3134613421
96	0.3114485145
97	0.3095405233
98	0.3075808159
99	0.305735618
100	0.3036849143
101	0.3018225275
102	0.300348392
103	0.2984244686
104	0.2964938882
105	0.2945073487
106	0.2923104467
107	0.2902134875
108	0.2884041661
109	0.2866904202
110	0.2851033953
111	0.28369413
112	0.2820513367
113	0.2802309609
114	0.2785989611
115	0.2769530331
116	0.2754789113
117	0.2741647765
118	0.2724700236
119	0.2708588907
120	0.2697129143
121	0.268239828
122	0.2667542453
123	0.2653613225
124	0.2638369196
125	0.262461568
126	0.2608431241
127	0.2593682733
128	0.2579320123
129	0.256366241
130	0.2548040707
131	0.2538806219
132	0.2524361367
133	0.2509941477
134	0.249942064
135	0.2486859569
136	0.2472977782
137	0.2457486272
138	0.2440586652
139	0.242795301
140	0.2416010727
141	0.2402621639
142	0.2390057223
143	0.2377602829
144	0.2365357651
145	0.235238631
146	0.233986565
147	0.2329293499
148	0.2318126584
149	0.2308783347
150	0.2298751767
151	0.2287547301
152	0.2276823699
153	0.2261899036
154	0.2250739511
155	0.2240901561
156	0.2231191322
157	0.2223310505
158	0.2213457657
159	0.2200538126
160	0.2189267546
161	0.2176929903
162	0.2165202536
163	0.2152429566
164	0.2142034538
165	0.213195592
166	0.2121049478
167	0.2112098087
168	0.2101349054
169	0.2093520046
170	0.2085370434
171	0.2075549327
172	0.2067871512
173	0.2058576392
174	0.2049292192
175	0.2039989136
176	0.2031302745
177	0.2022292199
178	0.2013336922
179	0.2006060728
180	0.1997608698
181	0.1987603762
182	0.1979746535
183	0.1972458475
184	0.1964114642
185	0.1956793547
186	0.1949499137
187	0.1943085116
188	0.1933378786
189	0.192505257
190	0.1917272226
191	0.1911657865
192	0.1904352317
193	0.1896739381
194	0.1887689467
195	0.1880228632
196	0.1872446843
197	0.1861472248
198	0.1855682057
199	0.1847527885
200	0.1841314881
201	0.1832182882
202	0.1827694043
203	0.182051394
204	0.1813223337
205	0.1806993397
206	0.1800946443
207	0.179456899
208	0.1786391123
209	0.1777568303
210	0.1771334263
211	0.1765089328
212	0.1756589166
213	0.1748251959
214	0.1742360236
215	0.173441079
216	0.1729399022
217	0.1722892738
218	0.1716427116
219	0.171064507
220	0.1705553809
221	0.1699194247
222	0.169444844
223	0.1688592955
224	0.1680448957
225	0.1673844853
226	0.1668623208
227	0.1662420322
228	0.1658223914
229	0.16538798
230	0.1648600005
231	0.1643302771
232	0.1637408502
233	0.1632467281
234	0.1626142922
235	0.1621029302
236	0.1615247636
237	0.1609811493
238	0.1603738843
239	0.1599226681
240	0.1593808298
241	0.1588958805
242	0.1584172948
243	0.1579699479
244	0.1575600932
245	0.156804771
246	0.1562553994
247	0.1556583758
248	0.1550950589
249	0.1545870903
250	0.1539661641
251	0.1534452523
252	0.1529439064
253	0.1523629708
254	0.1519876079
255	0.1514430736
256	0.15108979
257	0.1505294876
258	0.1499641862
259	0.1495393908
260	0.1491296635
261	0.1487594681
262	0.1482136047
263	0.1478664557
264	0.1474223543
265	0.1470503841
266	0.1464893203
267	0.1458980148
268	0.1454127852
269	0.145036003
270	0.1445144025
271	0.1440878979
272	0.1436138175
273	0.1431637222
274	0.1426329032
275	0.1422456915
276	0.1417751724
277	0.1412882203
278	0.1408074651
279	0.1403629546
280	0.1399006669
281	0.139488977
282	0.1390451246
283	0.1387300669
284	0.1383004891
285	0.1378201689
286	0.1375369236
287	0.1373149715
288	0.1369036121
289	0.1365978609
290	0.1361870497
291	0.1359053504
292	0.1356157205
293	0.135269356
294	0.1350225163
295	0.1345861988
296	0.1343413211
297	0.1339545
298	0.1335063227
299	0.1331133309
300	0.1326986392
301	0.1323318619
302	0.1319838098
303	0.1316614507
304	0.1312925794
305	0.1310855391
306	0.1307636746
307	0.1304338272
308	0.1301027683
309	0.129743513
310	0.1294661348
311	0.1291532429
312	0.1288278094
313	0.1284731062
314	0.1280614191
315	0.1277278384
316	0.1274111118
317	0.1271383085
318	0.1268117637
319	0.1264951841
320	0.1261842937
321	0.1259611249
