iter	Passed	Remaining
0	4	4479
1	8	4111
2	11	3766
3	13	3383
4	16	3198
5	18	3078
6	20	2947
7	22	2807
8	24	2699
9	26	2605
10	28	2519
11	29	2451
12	31	2382
13	32	2321
14	34	2273
15	36	2231
16	37	2192
17	39	2158
18	41	2126
19	42	2095
20	44	2069
21	45	2043
22	47	2027
23	49	2006
24	50	1986
25	52	1968
26	54	1951
27	55	1936
28	57	1930
29	60	1940
30	62	1943
31	64	1944
32	66	1945
33	68	1948
34	70	1949
35	73	1958
36	75	1959
37	77	1964
38	79	1964
39	81	1964
40	84	1970
41	86	1976
42	89	1981
43	91	1985
44	93	1984
45	95	1988
46	98	1988
47	100	1987
48	102	1987
49	104	1987
50	106	1988
51	109	1990
52	111	1989
53	113	1989
54	115	1987
55	117	1988
56	120	1988
57	122	1985
58	123	1976
59	125	1966
60	127	1957
61	128	1948
62	130	1939
63	132	1930
64	133	1925
65	135	1919
66	137	1914
67	139	1907
68	140	1901
69	142	1896
70	144	1891
71	146	1884
72	147	1878
73	149	1876
74	152	1875
75	153	1870
76	155	1865
77	157	1859
78	159	1855
79	161	1851
80	162	1846
81	164	1842
82	166	1837
83	168	1832
84	170	1830
85	171	1825
86	173	1820
87	175	1816
88	177	1811
89	178	1807
90	180	1803
91	182	1798
92	183	1794
93	185	1789
94	187	1785
95	189	1783
96	191	1779
97	192	1775
98	194	1771
99	196	1767
100	198	1764
101	200	1765
102	202	1761
103	203	1756
104	205	1753
105	207	1750
106	209	1747
107	211	1743
108	213	1742
109	215	1741
110	217	1739
111	218	1735
112	220	1732
113	222	1728
114	224	1726
115	226	1723
116	227	1719
117	229	1716
118	231	1712
119	233	1708
120	234	1705
121	236	1702
122	238	1699
123	240	1696
124	241	1693
125	243	1689
126	245	1688
127	247	1685
128	249	1682
129	250	1678
130	252	1675
131	254	1673
132	256	1670
133	257	1666
134	259	1663
135	261	1660
136	263	1661
137	265	1658
138	267	1656
139	269	1653
140	270	1650
141	272	1647
142	274	1644
143	276	1641
144	277	1638
145	279	1635
146	281	1632
147	283	1631
148	285	1629
149	286	1626
150	288	1623
151	290	1620
152	292	1617
153	293	1614
154	295	1612
155	297	1609
156	299	1607
157	301	1604
158	302	1602
159	304	1599
160	306	1596
161	308	1593
162	310	1593
163	312	1591
164	313	1588
165	315	1585
166	317	1583
167	319	1580
168	320	1577
169	322	1574
170	324	1571
171	325	1569
172	327	1566
173	329	1564
174	331	1561
175	333	1559
176	334	1556
177	336	1553
178	338	1551
179	340	1549
180	341	1547
181	343	1544
182	345	1542
183	347	1540
184	349	1538
185	350	1535
186	352	1533
187	354	1530
188	356	1527
189	358	1526
190	360	1525
191	361	1523
192	363	1520
193	365	1518
194	367	1516
195	369	1514
196	371	1512
197	372	1510
198	374	1508
199	376	1506
200	378	1504
201	380	1501
202	382	1499
203	383	1497
204	385	1495
205	387	1493
206	389	1491
207	391	1489
208	393	1488
209	395	1486
210	397	1485
